,count,mean,std,min,25%,Median,75%,max
NZTDCI,60.0,58.166666666666664,18.99970264411977,10.0,50.0,60.0,70.0,90.0
ROA_pct,60.0,4.944334040107427,4.97689689719874,-5.852683206690422,1.2674825009908859,2.926041585805484,8.048848119786225,19.142062407198974
ROE_pct,60.0,13.881468054155667,9.899560978030397,-10.378609330542833,8.021319875430434,12.192119213376081,17.376425206270568,46.85555799361001
Firm_Size,60.0,13.431335075009319,1.2257426707697254,11.418444221503226,12.535592149389553,13.07633153453908,15.011115713025196,15.342944707445602
Leverage,60.0,0.6122686169003316,0.17890946329345314,0.30357045523046217,0.4589463876308318,0.6224555171487332,0.7448987132880254,0.8853074664346459
