,NZTDCI,ROA_pct,ROE_pct,Firm_Size,Leverage
NZTDCI,1.0,0.1793798479946673,0.08356106903104318,0.11879287187541947,-0.039799724237326625
ROA_pct,0.1793798479946673,1.0,0.758224466741109,-0.5728808585282157,-0.5790681784133463
ROE_pct,0.08356106903104318,0.758224466741109,1.0,-0.3454010490414214,-0.08821239594328549
Firm_Size,0.11879287187541947,-0.5728808585282157,-0.3454010490414214,1.0,0.6563914624949071
Leverage,-0.039799724237326625,-0.5790681784133463,-0.08821239594328549,0.6563914624949071,1.0
