Model,Outcome,N,Lagged_NZTDCI_Beta,Robust_SE,p_value,CI95_Lower,CI95_Upper,R_squared,Adjusted_R_squared
One-year lagged NZTDCI,ROA,45,-0.21844853122593832,0.17173245242308513,0.2033630815053129,-0.5550379529519236,0.11814089050004689,0.8833093308269967,0.8288536852129285
One-year lagged NZTDCI,ROE,45,-0.5700140331454284,0.49643534300009257,0.25088021270965255,-1.5430094260783984,0.40298135978754146,0.8243395989728239,0.7423647451601418
