Model,Outcome,N,NZTDCI_Beta_per_10_points,Robust_SE,p_value,CI95_Lower,CI95_Upper,R_squared,Adjusted_R_squared,NZTDCI_Beta,SE
Main pooled OLS + sector/year effects (HC3),ROA,60,-0.02911642898151487,0.2140973369464086,0.8918242675635009,-0.44873949858241235,0.39050664061938267,0.821500235676679,0.7606480432937286,,
Main pooled OLS + sector/year effects (HC3),ROE,60,-0.034146671958608016,0.5584621292005716,0.9512444371505823,-1.1287123319212828,1.0604189880040666,0.7536722943150366,0.6696969401042536,,
Pooled OLS + firm-clustered SE,ROA,60,-0.02911642898151487,0.19674220780771406,0.8823484553751084,-0.41472407052352944,0.35649121256049976,0.821500235676679,0.7606480432937286,,
Pooled OLS + firm-clustered SE,ROE,60,-0.034146671958608016,0.4648960507133607,0.9414479331423902,-0.9453261879117015,0.8770328439944856,0.7536722943150366,0.6696969401042536,,
Firm FE + year FE,ROA,60,,,0.4426109959891882,-0.22178061517024286,0.4976950251272746,0.428638716667472,,0.13795720497851585,0.17785110744563032
Firm FE + year FE,ROE,60,,,0.5252412699658398,-0.5768313597148433,1.1121015160179182,0.33920027173581035,,0.2676350781515374,0.41749652875834997
Random effects (supplementary),ROA,60,,,0.6230733051724568,-0.46006338841105454,0.7614268100422583,0.29719266457032356,,0.15068171081560186,0.3048785368030636
Random effects (supplementary),ROE,60,,,0.7904081018870674,-1.1862804380672396,1.5512202608678025,0.08799358449257921,,0.1824699114002815,0.6832680349342806
