Company,Year,Sector,NZTDCI,NZTDCI_10,ROA,ROA_pct,ROE,ROE_pct,Firm_Size,Leverage
ADVANC,2022,Telecom,30,3.0,0.07503989092777456,7.503989092777457,0.31079124381293294,31.079124381293294,12.72796775583913,0.7453850637629559
ADVANC,2023,Telecom,50,5.0,0.07349776156876572,7.3497761568765725,0.3300254887730941,33.002548877309415,13.026819454284164,0.8004613026138018
ADVANC,2024,Telecom,50,5.0,0.07918838685497107,7.918838685497106,0.3735404250723937,37.35404250723937,12.974865395891621,0.7744166642773374
ADVANC,2025,Telecom,30,3.0,0.11244711052050516,11.244711052050516,0.46855557993610014,46.85555799361001,12.948660278776135,0.7447365964630485
AOT,2022,Transport,10,1.0,-0.05852683206690422,-5.852683206690422,-0.10378609330542833,-10.378609330542833,12.121673780230836,0.44226662630679064
AOT,2023,Transport,20,2.0,0.04633797423626407,4.633797423626406,0.08301545761991608,8.301545761991608,12.183883732317133,0.4265243857083972
AOT,2024,Transport,20,2.0,0.09549156509569011,9.549156509569011,0.1634645984523331,16.346459845233312,12.236358562000861,0.38685899537928337
AOT,2025,Transport,30,3.0,0.08712324470025828,8.712324470025829,0.14208538319337138,14.208538319337139,12.254540043330431,0.3672201262283547
BBL,2022,Banking,30,3.0,0.006694569854848063,0.6694569854848063,0.058724338864775474,5.872433886477547,15.302046575960466,0.8853074664346459
BBL,2023,Banking,40,4.0,0.00931835681380531,0.931835681380531,0.08050794688204795,8.050794688204794,15.322801536761341,0.8824162439565247
BBL,2024,Banking,50,5.0,0.009973931121393246,0.9973931121393246,0.08341432090228346,8.341432090228345,15.3309408900429,0.8776473587300286
BBL,2025,Banking,30,3.0,0.010047588506284136,1.0047588506284135,0.08150232166814834,8.150232166814835,15.342944707445602,0.8750236516283681
BCP,2022,Energy,50,5.0,0.05662832786263362,5.662832786263363,0.21649409193849098,21.6494091938491,12.398114927612035,0.6559520368434419
BCP,2023,Energy,80,8.0,0.045414857472159495,4.541485747215949,0.1963168340979089,19.631683409790888,12.737961307822635,0.7061594170011639
BCP,2024,Energy,70,7.0,0.006648973636672949,0.6648973636672949,0.03312835502728995,3.3128355027289955,12.665210454990602,0.7268173084018993
BCP,2025,Energy,70,7.0,0.009359594671729693,0.9359594671729693,0.045463835079807995,4.546383507980799,12.607547804366654,0.718407632526052
BDMS,2022,Healthcare,60,6.0,0.09338047666399207,9.338047666399207,0.1372294290296925,13.722942902969251,11.860357847727736,0.33791934118047356
BDMS,2023,Healthcare,60,6.0,0.1006376814194754,10.063768141947541,0.14701679168388831,14.701679168388832,11.876125941234916,0.31087301478569
BDMS,2024,Healthcare,60,6.0,0.10827402094258143,10.827402094258144,0.1635680296576983,16.35680296576983,11.928433770906418,0.31408013790402434
BDMS,2025,Healthcare,70,7.0,0.10241998097682539,10.24199809768254,0.1539178732123976,15.391787321239761,11.970104015857912,0.30357045523046217
CPALL,2022,Retail,70,7.0,0.014301765714512166,1.4301765714512165,0.12956963966268786,12.956963966268786,13.736533896028675,0.6858420103623191
CPALL,2023,Retail,50,5.0,0.019974713716336898,1.9974713716336898,0.1745905965742906,17.45905965742906,13.739159815757862,0.6744760087788854
CPALL,2024,Retail,70,7.0,0.02709898904287704,2.7098989042877037,0.2131194759309731,21.31194759309731,13.758008862857112,0.6614724591926734
CPALL,2025,Retail,90,9.0,0.02927562843658978,2.927562843658978,0.21287493309946307,21.287493309946306,13.798174737197515,0.6626579172827465
CPN,2022,Property,50,5.0,0.040140398073338183,4.014039807333818,0.13921711052709482,13.921711052709481,12.516097975436503,0.6713500469192469
CPN,2023,Property,30,3.0,0.054515322324727084,5.451532232472708,0.17337332078488,17.337332078488,12.542090207373903,0.6406161700933196
CPN,2024,Property,80,8.0,0.05728059959244576,5.728059959244576,0.17348880389217738,17.34888038921774,12.625559126477464,0.639000757438205
CPN,2025,Property,70,7.0,0.0620943835777271,6.20943835777271,0.1790464135381966,17.904641353819663,12.620242127090705,0.6059102768592615
DELTA,2022,Electronics,80,8.0,0.19142062407198976,19.142062407198974,0.3193984517307033,31.93984517307033,11.418444221503226,0.39902101984865995
DELTA,2023,Electronics,90,9.0,0.18503077419931868,18.50307741993187,0.3014693952158232,30.146939521582322,11.591228105758953,0.3754814716798254
DELTA,2024,Electronics,90,9.0,0.16379901754735568,16.379901754735567,0.2568285024528012,25.68285024528012,11.72072542310267,0.35057701389046286
DELTA,2025,Electronics,70,7.0,0.17901766065011848,17.90176606501185,0.2809135652310154,28.091356523101542,11.945557714990077,0.37243679772775007
GPSC,2022,Energy,50,5.0,0.003188366241902272,0.3188366241902272,0.008367898808359395,0.8367898808359395,12.573524623063632,0.6014674556557217
GPSC,2023,Energy,40,4.0,0.012856177607504468,1.2856177607504469,0.035028754296550904,3.5028754296550906,12.563360651507965,0.5846664882760647
GPSC,2024,Energy,70,7.0,0.014154004120548291,1.4154004120548291,0.038010103641293036,3.8010103641293034,12.571188043407632,0.586508977269592
GPSC,2025,Energy,50,5.0,0.02316819804026516,2.316819804026516,0.06037820021445159,6.0378200214451585,12.484685302383985,0.5593883260553119
GULF,2022,Energy,30,3.0,0.029245203279519905,2.9245203279519902,0.11011510104492654,11.011510104492654,12.943648110124464,0.6752484623552031
GULF,2023,Energy,60,6.0,0.03385721089318959,3.385721089318959,0.13069331316081137,13.069331316081136,13.037924688213632,0.6863991086234587
GULF,2024,Energy,60,6.0,0.038023848088762774,3.8023848088762775,0.15094935262915224,15.094935262915223,13.114738380864525,0.6899669892503456
GULF,2025,Energy,50,5.0,0.11712754578402672,11.712754578402672,0.2592965366020238,25.92965366020238,13.559081644401024,0.5271461986792624
KBANK,2022,Banking,80,8.0,0.008567781181545248,0.8567781181545248,0.07300018156426476,7.300018156426476,15.261574794532509,0.866455447930845
KBANK,2023,Banking,70,7.0,0.009942652182159917,0.9942652182159917,0.08189821753975032,8.189821753975032,15.270294152433385,0.8606682725628091
KBANK,2024,Banking,60,6.0,0.011502922657384273,1.1502922657384274,0.09010549510562262,9.010549510562262,15.283604780519942,0.851262608068517
KBANK,2025,Banking,70,7.0,0.011138685681779434,1.1138685681779434,0.08620920595447912,8.620920595447911,15.332530080735614,0.8521990503143861
PTT,2022,Energy,80,8.0,0.028081231441334346,2.8081231441334347,0.0885499258456968,8.85499258456968,15.043873184654004,0.550978375368386
PTT,2023,Energy,60,6.0,0.032583579254315015,3.2583579254315014,0.10306786203089946,10.306786203089946,15.056912635233788,0.530416615770282
PTT,2024,Energy,70,7.0,0.0261107018506187,2.61107018506187,0.07932895437107351,7.9328954371073515,15.050628559909875,0.5181794043795036
PTT,2025,Energy,80,8.0,0.026881454628051124,2.6881454628051125,0.07919493113415224,7.919493113415224,15.000196555815593,0.4946007780295247
PTTEP,2022,Energy,60,6.0,0.08576429228114366,8.576429228114366,0.16068832045531817,16.068832045531817,13.676092524445684,0.46299602218424135
PTTEP,2023,Energy,50,5.0,0.08654259406739014,8.654259406739014,0.15873892985204333,15.873892985204332,13.713279507086117,0.4467974839706031
PTTEP,2024,Energy,60,6.0,0.08438876422653582,8.438876422653582,0.15232895192457724,15.232895192457724,13.780194989796936,0.4448614071832017
PTTEP,2025,Energy,70,7.0,0.06347089559766572,6.347089559766572,0.11427274460483378,11.427274460483378,13.74716390977292,0.44367990176464533
SCBX,2022,Financial Services,70,7.0,0.011093489268603915,1.1093489268603915,0.08322863163474313,8.322863163474313,15.055174490318493,0.8649244962516983
SCBX,2023,Financial Services,70,7.0,0.01262736971250257,1.262736971250257,0.09266621390355921,9.26662139035592,15.050610428337732,0.859327587444676
SCBX,2024,Financial Services,70,7.0,0.01269064344237762,1.269064344237762,0.09091176161415956,9.091176161415957,15.064420174683617,0.8580721343498897
SCBX,2025,Financial Services,70,7.0,0.013307021653513195,1.3307021653513196,0.09652530602684503,9.652530602684504,15.110441080223179,0.8625734971072951
SCC,2022,Materials,50,5.0,0.02419377806001504,2.419377806001504,0.05779437677378728,5.779437677378728,13.71733504601378,0.5009051012036219
SCC,2023,Materials,70,7.0,0.028792975855068438,2.8792975855068437,0.07020968043097155,7.020968043097155,13.70301423175031,0.5058232669330146
SCC,2024,Materials,80,8.0,0.007226516791762663,0.7226516791762663,0.01769309632519726,1.769309632519726,13.666432877024661,0.5127345758691572
SCC,2025,Materials,40,4.0,0.016725181447908487,1.6725181447908486,0.040762324764607685,4.076232476460769,13.618998056329884,0.5169832057325453
