Company,Year,NZTDCI,ROA_pct,ROE_pct,CookD_ROA,CookD_ROE,ROA_Flag_4_over_n,ROE_Flag_4_over_n
ADVANC,2022,30,7.503989092777457,31.079124381293294,0.006789689216449282,0.02772744666253386,False,False
ADVANC,2023,50,7.3497761568765725,33.002548877309415,0.0015203222188131344,0.022144456924735198,False,False
ADVANC,2024,50,7.918838685497106,37.35404250723937,0.000873406069435656,0.00024609211034307566,False,False
ADVANC,2025,30,11.244711052050516,46.85555799361001,0.02276428546885152,0.08700989134770874,False,True
AOT,2022,10,-5.852683206690422,-10.378609330542833,0.5094532446995029,0.2869685516318266,True,True
AOT,2023,20,4.633797423626406,8.301545761991608,0.002582587863229809,0.0009727881848194031,False,False
AOT,2024,20,9.549156509569011,16.346459845233312,0.15556807259558297,0.09736267128935301,True,True
AOT,2025,30,8.712324470025829,14.208538319337139,0.07113648743839748,0.03648175067220848,True,False
BBL,2022,30,0.6694569854848063,5.872433886477547,0.001996516827558297,2.2919223325940277e-06,False,False
BBL,2023,40,0.931835681380531,8.050794688204794,3.6183824187679776e-06,5.978848811514704e-05,False,False
BBL,2024,50,0.9973931121393246,8.341432090228345,0.00012378610832439603,0.00014807924281560268,False,False
BBL,2025,30,1.0047588506284135,8.150232166814835,0.00035672596176599276,0.0007729853573858906,False,False
BCP,2022,50,5.662832786263363,21.6494091938491,0.023191641517798383,0.0706135416898836,False,True
BCP,2023,80,4.541485747215949,19.631683409790888,0.03193314580881902,0.07491620253295665,False,True
BCP,2024,70,0.6648973636672949,3.3128355027289955,0.0011578338939989077,0.02211898123328415,False,False
BCP,2025,70,0.9359594671729693,4.546383507980799,0.0036518348188183786,0.027310519539617294,False,False
BDMS,2022,60,9.338047666399207,13.722942902969251,0.0009508861464101319,0.0008145512355619678,False,False
BDMS,2023,60,10.063768141947541,14.701679168388832,0.0013478208340791803,0.0013911914050763466,False,False
BDMS,2024,60,10.827402094258144,16.35680296576983,0.0025181413399495605,0.0019361331238094241,False,False
BDMS,2025,70,10.24199809768254,15.391787321239761,0.0019156098748700457,0.0012069864210273065,False,False
CPALL,2022,70,1.4301765714512165,12.956963966268786,0.0002531688063832302,0.012615332680110473,False,False
CPALL,2023,50,1.9974713716336898,17.45905965742906,0.0019390047521968194,0.0030251350610118978,False,False
CPALL,2024,70,2.7098989042877037,21.31194759309731,0.00018140751989962722,0.010042013842332522,False,False
CPALL,2025,90,2.927562843658978,21.287493309946306,0.00013898920011450847,0.004896363788686872,False,False
CPN,2022,50,4.014039807333818,13.921711052709481,2.4459323075612715e-05,0.00019778200731690752,False,False
CPN,2023,30,5.451532232472708,17.337332078488,0.0004083680261959623,3.906228600990795e-08,False,False
CPN,2024,80,5.728059959244576,17.34888038921774,0.0014359545395601415,0.0009000581959255388,False,False
CPN,2025,70,6.20943835777271,17.904641353819663,0.0005935971916621821,0.00020692991288500387,False,False
DELTA,2022,80,19.142062407198974,31.93984517307033,0.03313042224554341,0.031186006072092074,False,False
DELTA,2023,90,18.50307741993187,30.146939521582322,0.0005451104608569107,0.00042146360823184435,False,False
DELTA,2024,90,16.379901754735567,25.68285024528012,0.03091331232300447,0.016232406041431408,False,False
DELTA,2025,70,17.90176606501185,28.091356523101542,0.0010932055482797524,0.006031459447273192,False,False
GPSC,2022,50,0.3188366241902272,0.8367898808359395,0.02255380285229025,0.02759856855925139,False,False
GPSC,2023,40,1.2856177607504469,3.5028754296550906,0.038860257861324916,0.03864135861200829,False,False
GPSC,2024,70,1.4154004120548291,3.8010103641293034,0.02783374064995148,0.027807999689581343,False,False
GPSC,2025,50,2.316819804026516,6.0378200214451585,0.037002208429599504,0.027694759700255495,False,False
GULF,2022,30,2.9245203279519902,11.011510104492654,0.006222082129403967,0.005918443054485121,False,False
GULF,2023,60,3.385721089318959,13.069331316081136,0.003744077398448446,0.0036404903087652353,False,False
GULF,2024,60,3.8023848088762775,15.094935262915223,0.011278060803092235,0.016175681095526823,False,False
GULF,2025,50,11.712754578402672,25.92965366020238,0.05969822630198781,0.05000365568237593,False,False
KBANK,2022,80,0.8567781181545248,7.300018156426476,0.0019720399368976836,0.001613257749850653,False,False
KBANK,2023,70,0.9942652182159917,8.189821753975032,0.000542568374669208,0.00015234349056564932,False,False
KBANK,2024,60,1.1502922657384274,9.010549510562262,0.0002234662343772871,0.0002994651806353812,False,False
KBANK,2025,70,1.1138685681779434,8.620920595447911,0.0012061007737165761,0.0003098200944868671,False,False
PTT,2022,80,2.8081231441334347,8.85499258456968,2.8529154777163085e-07,2.3974821744516428e-05,False,False
PTT,2023,60,3.2583579254315014,10.306786203089946,0.0058099019895640515,0.0024334699121581487,False,False
PTT,2024,70,2.61107018506187,7.9328954371073515,0.015761790557772323,0.01148101926785658,False,False
PTT,2025,80,2.6881454628051125,7.919493113415224,0.0317736101372157,0.02155821844009727,False,False
PTTEP,2022,60,8.576429228114366,16.068832045531817,0.02219393877696481,0.015390069464914276,False,False
PTTEP,2023,50,8.654259406739014,15.873892985204332,0.007069321927193165,0.0031128282828970415,False,False
PTTEP,2024,60,8.438876422653582,15.232895192457724,0.0064188546524482325,0.0027794872188464143,False,False
PTTEP,2025,70,6.347089559766572,11.427274460483378,0.004593735670587074,0.005266999548054059,False,False
SCBX,2022,70,1.1093489268603915,8.322863163474313,0.002687648963327486,0.0014987645026412336,False,False
SCBX,2023,70,1.262736971250257,9.26662139035592,0.0004793780560595455,0.00027022297171697726,False,False
SCBX,2024,70,1.269064344237762,9.091176161415957,6.781154384227862e-05,5.8479436670966715e-06,False,False
SCBX,2025,70,1.3307021653513196,9.652530602684504,0.00047043482294450214,0.00039332743152586437,False,False
SCC,2022,50,2.419377806001504,5.779437677378728,0.006655181668449837,0.009493240017572955,False,False
SCC,2023,70,2.8792975855068437,7.020968043097155,0.0034976534387224523,0.0039580243640230175,False,False
SCC,2024,80,0.7226516791762663,1.769309632519726,0.00920555179794284,0.010634744704937948,False,False
SCC,2025,40,1.6725181447908486,4.076232476460769,0.0030757886130218953,0.004929209838912365,False,False
