Year,Mean_NZTDCI,Median_NZTDCI,SD_NZTDCI,Min_NZTDCI,Max_NZTDCI,Mean_ROA_pct,Mean_ROE_pct
2022,53.333333333333336,50.0,21.269248984883138,10,80,4.061422419041657,11.929217655920304
2023,56.0,60.0,18.822478962286404,20,90,5.012866675486552,14.390792018976235
2024,64.0,70.0,16.388149028228554,20,90,4.94568590007985,13.865868179993504
2025,59.333333333333336,70.0,19.444671200491875,30,90,5.757361165821652,15.339994361732627
