Outcome,LM Statistic,LM p-value,F Statistic,F p-value
ROA,25.921345885560967,0.03885757668524914,2.2311898725707784,0.019821516297645576
ROE,27.049532898664715,0.02833535621868544,2.4080173509751073,0.012055355435183365
