Model,Outcome,N,NZTDCI_Beta_per_10_points,Robust_SE,p_value,CI95_Lower,CI95_Upper,R_squared,Adjusted_R_squared
ROA Model 1: NZTDCI only,ROA,60,0.46987841106078665,0.4460730574223391,0.2921730558823591,-0.4044087159606654,1.3441655380822386,0.032177129866589826,0.015490528657393199
ROA Model 2: + controls,ROA,60,0.5596258959924618,0.4191429457018797,0.18182164285060876,-0.2618791819572499,1.3811309739421735,0.4445075188009401,0.41474899302241897
ROA Model 3: + year effects,ROA,60,0.5520019388400939,0.43084637378284585,0.20012215081098716,-0.29244143664396616,1.3964453143241538,0.45500631807915337,0.39330892012584995
ROA Model 4: + sector/year effects,ROA,60,-0.02911642898151487,0.2140973369464086,0.8918242675635009,-0.44873949858241235,0.39050664061938267,0.821500235676679,0.7606480432937286
ROE Model 1: NZTDCI only,ROE,60,0.4353846550952404,0.9413338371220388,0.6437092792214101,-1.4095957630928488,2.28036507328333,0.006982452257610849,-0.01013853994484415
ROE Model 2: + controls,ROE,60,0.830466110310266,0.873235087283133,0.341593015514845,-0.8810432108013653,2.541975431421897,0.17743465031159766,0.13336864943543325
ROE Model 3: + year effects,ROE,60,0.7815721125317447,0.8709838747701034,0.3695354100445024,-0.9255249131328025,2.488669138196292,0.1992600084477889,0.10861019808338768
ROE Model 4: + sector/year effects,ROE,60,-0.034146671958608016,0.5584621292005716,0.9512444371505823,-1.1287123319212828,1.0604189880040666,0.7536722943150366,0.6696969401042536
